code	species	clade	Mating	M4	M3	M2	Parasitism	P3	P2	Ref
Mflo	Meloidogyne floridensis	IV	FacultativePartenogenes	C	B	B	plant	B	A	"Lunt, David H., Sujai Kumar, Georgios Koutsovoulos, and Mark L. Blaxter. ""The complex hybrid origins of the root knot nematodes revealed through comparative genomics."" PeerJ 2 (2014): e356."
Mhap	Meloidogyne hapla	IV	FacultativePartenogenes	C	B	B	plant	B	A	"Lunt, David H., Sujai Kumar, Georgios Koutsovoulos, and Mark L. Blaxter. ""The complex hybrid origins of the root knot nematodes revealed through comparative genomics."" PeerJ 2 (2014): e356."
Minc	Meloidogyne incognita	IV	apomict	D	C	B	plant	B	A	"Lunt, David H., Sujai Kumar, Georgios Koutsovoulos, and Mark L. Blaxter. ""The complex hybrid origins of the root knot nematodes revealed through comparative genomics."" PeerJ 2 (2014): e356."
Mjav	Meloidogyne javanica	IV	apomict	D	C	B	plant	B	A	Chitwood DJ, Perry RN. 2009. Reproduction, Physiology and Biochemistry. In: PerryRN, Moens M, Starr JL, eds. Root-knot nematodes. CAB International. 182-200
Otip	Oscheius tipulae	V	androdioecy	B	B	B	free	C	B	"Sudhaus, Walter. ""Redescription of Rhabditis (Oscheius) tipulae (Nematoda: Rhabditidae) associated with leatherjackets, larvae of Tipula paludosa (Diptera: Tipulidae)."" Nematologica 39, no. 1 (1993): 234-239.; Félix, Marie-Anne. ""Oscheius tipulae."" (2006)."
Ovol	Onchocerca volvulus	III	gonochoristic	A	A	A	animal	A	A	"Bain, Odile, and Simon Babayan. ""Behaviour of filariae: morphological and anatomical signatures of their life style within the arthropod and vertebrate hosts."" Filaria Journal 2, no. 1 (2003): 16.; Philipp, Mario, Theodore B. Davis, Neil Storey, and Clotilde KS Carlow. ""Immunity in filariasis: perspectives for vaccine development."" Annual Reviews in Microbiology 42, no. 1 (1988): 685-716."
Pcof	Pratylenchus coffeae	IV	gonochoristic	A	A	A	plant	B	A	"Silva, R. A., and M. M. Inomoto. ""Host-range characterization of two Pratylenchus coffeae isolates from Brazil."" Journal of nematology 34, no. 2 (2002): 135."
Ppac	Pristionchus pacificus	V	androdioecy	B	B	B	free	C	B	"Dieterich, Christoph, Sandra W. Clifton, Lisa N. Schuster, Asif Chinwalla, Kimberly Delehaunty, Iris Dinkelacker, Lucinda Fulton et al. ""The Pristionchus pacificus genome provides a unique perspective on nematode lifestyle and parasitism."" Nature genetics 40, no. 10 (2008): 1193-1198."
Pred	Panagrellus redivivus	IV	gonochoristic	A	A	A	free	C	B	"Sternberg, Paul W., and H. Robert Horvitz. ""Gonadal cell lineages of the nematode Panagrellus redivivus and implications for evolution by the modification of cell lineage."" Developmental biology 88, no. 1 (1981): 147-166.; Balakanich, S., and M. R. Samoiloff. ""Development of nematode behavior: Sex attraction among different strains of the free-living Panagrellus redivivus."" Canadian journal of zoology 52, no. 7 (1974): 835-845."
Ptri	Parastrongyloides trichosuri	IV	gonochoristic	A	A	A	animal	A	A	"Grant, W. N., S. Stasiuk, J. Newton-Howes, M. Ralston, S. A. Bisset, D. D. Heath, and C. B. Shoemaker. ""Parastrongyloides trichosuri, a nematode parasite of mammals that is uniquely suited to genetic analysis."" International journal for parasitology 36, no. 4 (2006): 453-466."
Rcul	Romanomermis culicivorax	I	gonochoristic	A	A	A	animal	A	A	"Schiffer, Philipp H., Michael Kroiher, Christopher Kraus, Georgios D. Koutsovoulos, Sujai Kumar, Julia IR Camps, Ndifon A. Nsah et al. ""The genome of Romanomermis culicivorax: revealing fundamental changes in the core developmental genetic toolkit in Nematoda."" BMC genomics 14, no. 1 (2013): 923."
Rsim	Radopholus similis	IV	gonochoristic	A	A	A	plant	B	A	"Schiffer, Philipp H., Michael Kroiher, Christopher Kraus, Georgios D. Koutsovoulos, Sujai Kumar, Julia IR Camps, Ndifon A. Nsah et al. ""The genome of Romanomermis culicivorax: revealing fundamental changes in the core developmental genetic toolkit in Nematoda."" BMC genomics 14, no. 1 (2013): 923."
Sbat	Soboliphyme baturini	I	gonochoristic	A	A	A	animal	A	A	"Bezdek, Hubert. ""Studies on the nematode Soboliphyme baturini Petrow, 1930."" Transactions of the American Microscopical Society (1942): 398-403."
Smur	Syphacia muris	III	gonochoristic	A	A	A	animal	A	A	"STAHL, WALTER. ""Studies on the life cycle of Syphacia muris, the rat pinworm."" The Keio journal of medicine 12, no. 2 (1963): 55-60."
Spap	Strongyloides papillosus	IV	gonochoristic	A	A	A	animal	A	A	"Chandrawathani, P., J. Omar, and P. J. Waller. ""The control of the free-living stages of Strongyloides papillosus by the nematophagous fungus, Arthrobotrys oligospora."" Veterinary parasitology 76, no. 4 (1998): 321-325."
Srat	Strongyloides ratti	IV	gonochoristic	A	A	A	animal	A	A	"Viney, M. E. ""Developmental switching in the parasitic nematode Strongyloides ratti."" Proceedings of the Royal Society of London. Series B: Biological Sciences 263, no. 1367 (1996): 201-208."
Sven	Strongyloides venezuelensis	IV	gonochoristic	A	A	A	animal	A	A	"Viney, Mark E., and James B. Lok. ""Strongyloides spp."" WormBook: the online review of C. elegans biology (2007): 1."
Tcan	Toxocara canis	III	gonochoristic	A	A	A	animal	A	A	"Sprent, J. F. A. ""Observations on the development of Toxocara canis (Werner, 1782) in the dog.""Parasitology 48, no. 1-2 (1958): 184-209."
Tmur	Trichuris muris	I	gonochoristic	A	A	A	animal	A	A	"Behnke, Jerzy M., and Derek Wakelin. ""The survival of Trichuris muris in wild populations of its natural hosts."" Parasitology 67, no. 02 (1973): 157-164."
Tspi	Trichinella spiralis	I	gonochoristic	A	A	A	animal	A	A	"Mitreva, Makedonka, Douglas P. Jasmer, Dante S. Zarlenga, Zhengyuan Wang, Sahar Abubucker, John Martin, Christina M. Taylor et al. ""The draft genome of the parasitic nematode Trichinella spiralis."" Nature genetics 43, no. 3 (2011): 228-235."
Ttri	Trichuris trichiura	I	gonochoristic	A	A	A	animal	A	A	"Bundy, Donald AP, Edward S. Cooper, Donaldene E. Thompson, J. Martin Didier, Rox M. Anderson, and Ira Simmons. ""Predisposition to Trichuris trichiura infection in humans."" Epidemiology and infection 98, no. 01 (1987): 65-71."
Wban	Wuchereria bancrofti	III	gonochoristic	A	A	A	animal	A	A	"Behaviour of filariae: morphological and anatomical signatures of; KOTCHER, EMIL. ""Studies on the development of frog filariae."" American Journal of Epidemiology 34, no. 2 (1941): 36-64.; Philipp, Mario, Theodore B. Davis, Neil Storey, and Clotilde KS Carlow. ""Immunity in filariasis: perspectives for vaccine development."" Annual Reviews in Microbiology 42, no. 1 (1988): 685-716."
